Ingredient Name,Calories,Health Star Rating,GHG Emission (kg CO2eq/FU),Category,Scientific Name,Description,Energy (kJ),Protein (g),Sodium (mg),Sugars (g),Saturated fats (g),Fibre (g)
"Chicken, breast, lean flesh, skin & fat, raw",164,4,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Gallus gallus,"Raw flesh, skin and fat from breast portion of a chicken.",688,20.1,40,0,2.86,0
"Chicken, drumstick, lean flesh, baked, no added fat",198,4.5,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Gallus gallus,"Flesh from drumstick portion of a chicken, with the skin and fat removed. Baked with no added fat.",830,29.9,120,0.4,2.54,0
"Chicken, drumstick, lean flesh, casseroled, no added fat",174,4,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Gallus gallus,"Flesh from drumstick portion of a chicken, with the skin and fat removed. Casseroled with added water then drained, no added fat.",730,28.6,74,0,2.15,0
"Chicken, drumstick, lean flesh, raw",117,4,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Gallus gallus,"Uncooked flesh from drumstick portion of a chicken, with the skin and fat removed.",492,18.5,71,0,1.4,0
"Chicken, drumstick, lean flesh, skin & fat, baked, no added fat",233,4,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Gallus gallus,"Flesh, skin and fat from drumstick portion of a chicken. Baked with no added fat.",979,28.5,113,0.3,3.98,0
"Chicken, drumstick, lean flesh, skin & fat, casseroled, no added fat",208,4,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Gallus gallus,"Flesh, skin and fat from drumstick portion of a chicken. Casseroled with added water then drained, no added fat.",873,26.9,70,0,3.5,0
"Chicken, drumstick, lean flesh, skin & fat, raw",154,4,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Gallus gallus,"Uncooked flesh, skin and fat from the drumstick portion of a chicken.",645,17.6,67,0,2.8,0
"Chicken, mince, raw",135,4,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Gallus gallus,Raw chicken mince likely to be from the breast and thigh portion of a chicken.,567,19.2,52,0.1,1.81,0
"Chicken, separable fat, composite, cooked, no added fat",486,2,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Gallus gallus,"Fat from a fresh chicken, cooked in a casserole dish with added water.",2036,4.3,13,0,16.13,0
"Chicken, separable fat, composite, raw",571,2,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Gallus gallus,Fat able to be separated from the flesh and skin prior to cooking.,2392,5.1,22,0,18.96,0
"Chicken, skin, composite, baked, no added fat",434,3,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Gallus gallus,"Baked skin, separated from the flesh of chicken after baking.",1818,22.3,78,0,11.84,0
"Chicken, skin, composite, casseroled, no added fat",416,3,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Gallus gallus,"Skin of chicken, cooked in a casserole dish with added water.",1742,18,51,0,11.44,0
"Chicken, skin, composite, raw",362,3,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Gallus gallus,Raw skin separated from the flesh of chicken prior to cooking.,1515,12.7,43,0,10.75,0
"Chicken, thigh, lean flesh, baked, no added fat",175,4,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Gallus gallus,"Flesh from thigh portion of a chicken, with skin and fat removed. Baked with no added fat.",733,24.2,76,0,2.69,0
"Chicken, thigh, lean flesh, casseroled, no added fat",193,4,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Gallus gallus,"Flesh from thigh portion of a chicken, with skin and fat removed. Casseroled with added water, then drained, no added fat.",810,26.3,62,0,3.05,0
"Chicken, thigh, lean flesh, raw",118,4,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Gallus gallus,"Uncooked flesh from thigh portion of a chicken, with skin and fat removed.",496,18.3,62,0,1.51,0
"Chicken, thigh, lean flesh, skin & fat, baked, no added fat",226,4,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Gallus gallus,"Flesh, skin and fat from the thigh portion of a chicken. Baked with no added fat.",947,23,73,0,4.6,0
"Chicken, thigh, lean flesh, skin & fat, casseroled, no added fat",239,4,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Gallus gallus,"Flesh, skin and fat from the thigh portion of a chicken. Casseroled with added water, then drained, no added fat.",1004,24.1,58,0,4.89,0
"Chicken, thigh, lean flesh, skin & fat, raw",224,3.5,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Gallus gallus,"Uncooked flesh, skin and fat from the thigh portion of a chicken.",940,15.5,53,0,5.57,0
"Chicken, wing, lean flesh, baked, no added fat",193,4.5,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Gallus gallus,"Flesh from wing portion of a chicken, with skin and fat removed. Baked with no added fat.",810,30.9,84,0,2.35,0
"Chicken, wing, lean flesh, casseroled, no added fat",191,4,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Gallus gallus,"Flesh from wing portion of a chicken, with skin and fat removed. Casseroled with added water, then drained, no added fat.",800,27.9,70,0,2.74,0
"Chicken, wing, lean flesh, raw",112,4,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Gallus gallus,"Uncooked flesh from wing portion of a chicken, with skin and fat removed.",470,18.7,66,0,1.24,0
"Chicken, wing, lean flesh, skin & fat, baked, no added fat",262,4,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Gallus gallus,"Flesh, skin and fat from the wing portion of a chicken. Baked with no added fat.",1100,28.1,81,0,5.12,0
"Chicken, wing, lean flesh, skin & fat, casseroled, no added fat",255,4,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Gallus gallus,"Flesh, skin and fat from the wing portion of a chicken. Casseroled with added water, then drained, no added fat.",1067,24.9,64,0,5.25,0
"Chicken, wing, lean flesh, skin & fat, raw",219,3.5,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Gallus gallus,"Uncooked flesh, skin and fat from the wing portion of a chicken.",917,16.1,56,0,5.32,0
"Chickpea, canned, drained",113,4,1.79,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Cicer arietinum,"Small round cream coloured legume which has been boiled and canned in brine, then drained.",474,6.3,250,0.6,0.21,5.7
"Chickpea, dried",328,5,1.79,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Cicer arietinum,"A small, round ball with an uneven surface, approximately 6-7 mm in size. Light to dark brown in colour with a thick seed coat.",1373,19.7,11,2.2,0.56,20.8
"Chicory, boiled, drained",18,3.5,0.43,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Cichorium intybus,"A leafy vegetable with long white leaves, typically used in salads, stews and casseroles. Boiled in unsalted water without added fat, then drained.",79,2.1,40,0.8,0,2.1
"Chicory, raw",16,3.5,0.43,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Cichorium intybus,"A leafy vegetable with long white leaves, typically used in salads, stews and casseroles. Uncooked.",67,1.8,36,0.7,0,1.8
"Coconut, fresh, mature fruit, flesh",333,2.5,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Cocos nucifera,"Fresh flesh from inside a mature coconut, not preserved by drying or other techniques.",1396,3.8,5,2.9,28.95,8.1
"Coconut, fresh, mature, water or juice",20,3,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Cocos nucifera,"The liquid portion from the inside of a mature coconut, not preserved or treated.",87,0.5,17,4.7,0.09,0
"Coconut, fresh, young or immature, flesh",84,3,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Cocos nucifera,"Fresh flesh from inside an immature coconut, not preserved by drying or other techniques.",353,1.6,6,4,4.94,0.5
"Coconut, fresh, young or immature, water or juice",26,3,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Cocos nucifera,"The liquid portion from the inside of an immature coconut, not preserved or treated.",109,0.2,5,6.6,0,0
"Coconut, grated & desiccated",662,2.5,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Cocos nucifera,Grated or shredded flesh from a mature coconut that has been dried and packaged.,2772,6.6,15,6.6,57.73,15.4
"Cod or hake, smoked, steamed",94,3.5,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Merluccius species,Fillets of cod or hake preserved by cold or liquid smoking so that the fish has an orange colour. Steamed without added fat.,397,20.1,548,0,0.36,0
"Cod, smoked, raw",85,3.5,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Merluccius species,Uncooked fillets of cod preserved by cold or liquid smoking so that the fish has an orange colour.,356,18.8,655,0,0.25,0
"Corn, fresh on cob, boiled, drained",91,4,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Zea mays,"The round, yellow kernels of maize formed on an ear which is surrounded by a green husk. Boiled on the cob in unsalted water, without added fat, then drained.",381,3.8,19,5.6,0.5,4
"Corn, kernels, purchased frozen, boiled, drained",108,3.5,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Zea mays,"Corn kernels purchased frozen separated from cob. Boiled in unsalted water, without added fat, then drained.",452,3.1,8,2.6,0.24,3.5
"Corn, kernels, purchased frozen, raw",93,3.5,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Zea mays,Corn kernels purchased frozen separated from cob. Uncooked.,390,3,5,3,0.24,2.5
"Corn, fresh on cob, raw",87,4,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Zea mays,"The round, yellow kernels of maize formed on an ear which is surrounded by a green husk. Uncooked kernels from a cob.",366,3.6,19,5.4,0.48,3.8
"Corn, kernels, canned in brine, drained",93,3.5,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Zea mays,"Corn kernels purchased canned with added water, sugar, salt, mineral salt, then drained.",391,2.9,170,3.5,0.25,2.7
"Custard apple, African pride, peeled, raw",77,3,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Annona atemoya,Light green to bluish green skin covered in irregular smooth bumps with white-cream flesh.,326,1.4,4,14.7,0.16,2.5
"Duck, lean flesh, baked, no added fat",182,4,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Anas anatidae,"Uncooked flesh from all portions of the duck, with skin and fat removed. Baked with no added fat.",765,24.3,95,0,2.95,0
"Duck, lean flesh, raw",120,4,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Anas anatidae,"Uncooked flesh from all portions of the duck, with skin and fat removed.",506,17.8,91,0,1.71,0
"Duck, lean flesh, skin & fat, baked, no added fat",505,2.5,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Anas Anatidae,"Flesh, skin and fat from all portions of the duck. Baked with no added fat.",2114,17.3,62,0,15.08,0
"Duck, lean flesh, skin & fat, raw",378,2.5,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Anas anatidae,"Uncooked flesh, skin and fat from all portions of the duck.",1585,13,58,0,11.31,0
"Duck, skin & fat, baked, no added fat",481,2.5,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Anas anatidae,Skin and fat from all portions of the duck. Baked with no added fat.,2016,13.4,60,0,14.79,0
"Duck, skin & fat, raw",562,2,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Anas anatidae,Uncooked skin and fat from all portions of the duck.,2352,9.5,34,0,18.13,0
"Emu, fan fillet, raw",116,4.5,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Dromaius novaehollandiae,Uncooked meat from emu thigh.,486,24.7,43,0,0.64,0
"Emu, fried, no added fat",157,4.5,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Dromaius novaehollandiae,"Flesh from an emu, cooked with no added fat.",660,33.5,52,0,0.86,0
"Emu, steak, raw",120,4.5,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Dromaius novaehollandiae,Uncooked meat from an unspecified portion of an emu.,504,25.5,54,0,0.65,0
"Endive, fresh, raw",13,3.5,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Cichorium endivia,"A salad leaf vegetable made up of rosette of green curly leaves, darker at tips and lighter in the centre. Uncooked.",58,1.5,76,0.3,0,2.2
"Feijoa, raw",42,3.5,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Feijoa sellowiana,"Green fruit with wrinkled inedible peel, similar in size and shape to a kiwi fruit, with a sweet clear gelatinous seed pulp.",176,0.6,3,7.7,0.1,3
"Fennel, fresh, boiled, drained",25,3.5,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Foeniculum vulgare var. dulce,"A light green-coloured, short, bulbous, aniseed flavoured celery-like shoot. Boiled in unsalted water without added fat, then drained.",108,1.2,42,3.9,0,2.1
"Fennel, fresh, raw",21,3.5,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Foeniculum vulgare var. dulce,"A light green coloured, short, bulbous, aniseed flavoured celery-like shoot. Its feathery green leaves are used as a herb and its seeds are used in bread, pastries, pasta and pickles. Uncooked.",92,1,38,3.3,0,1.8
"Fig, dried",258,3.5,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Ficus carica,"Small pear shaped fruit with seedy sweet pulp that vary in colour from green to yellow, brown, purple or black that has been preserved by drying. Imported into Australia.",1082,3.6,39,52.6,0.19,14.3
"Fig, fresh, unpeeled, raw",46,3.5,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Ficus carica,"Small pear shaped fruit with seedy sweet pulp that vary in colour from green to yellow, brown, purple or black.",195,1.4,3,8.1,0,3.3
"Fish, eel, raw",178,4,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D","Anguilla reinhardtii, Anguilla australis","Uncooked eel, with or without skin.",745,18.4,51,0,2.36,0
"Flathead, flesh, raw",94,4,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Platycephalus Spp.,"Uncooked flathead flesh from the family Platycephalus including species identified as Sand (P. bassenis), Tiger (P. richardsoni) and Rock (P. laevigatus).",395,21.1,97,0,0.28,0
"Flathead, flesh, steamed, no added fat",116,4.5,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Platycephalus spp.,"Flathead flesh from the family Platycephalus including species identified as Sand (P. bassenis), Tiger (P. richardsoni) and Rock (P. laevigatus), that has been steamed with no added fat.",487,26.1,91,0,0.34,0
"Flour, soya",368,5,1.79,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Glycine max,"Creamy, finely ground flour processed from soya beans.",1543,49.8,9,9.3,1.53,16
"Garlic, peeled, fresh, fried, no added fat",201,5,0.5,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Allium sativum,"Bulb made up of segments called cloves, covered by a papery shell. Fried without added fat.",842,9.8,13,2.4,1.26,27.3
"Garlic, peeled, fresh, raw",124,5,0.5,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Allium sativum,"Bulb made up of segments called cloves, covered by a papery shell. Uncooked.",522,6.1,8,1.5,0.78,16.9
"Gemfish, flesh, raw",77,4,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Rexea solandri,Uncooked gemfish flesh.,323,13.2,40,0.1,0.72,0
"Gemfish, flesh, steamed, no added fat",123,4,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Rexea solandri,Gemfish flesh that has been steamed with no added fat.,517,23.3,72,0.3,0.87,0
"Ginger, peeled, fresh, fried, no added fat",38,3.5,0.43,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Zingiber officinale,Thick tuberous vegetable with brown skin and pale yellow flesh. Fried without added fat.,160,1,13,2.1,0,3.4
"Ginger, peeled, fresh, raw",31,3.5,0.43,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Zingiber officinale,Thick tuberous vegetable with brown skin and pale yellow flesh. Uncooked.,132,0.8,11,1.7,0,2.8
"Goji berry, dried",326,4,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Lycium barbarum,Small oblong berries that range from dark pink to red in colour. Dried before packaging.,1364,14.3,532,53.6,0.5,13
"Grape, black muscatel/muscat, raw",83,3,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Vitis vinifera,"Full bodied, seeded grape, with a black crisp skin and juicy pulp.",349,1.1,8,18.8,0,2.7
"Grape, black sultana, raw",66,3.5,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Vitis vinifera,"Oval, black, seedless grape with crisp texture.",278,1.2,3,14,0,3.3
"Grape, cornichon, raw",61,3.5,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Vitis vinifera,"Elongated, purple coloured grape.",257,1.3,3,12.7,0,2.5
"Grape, red globe, raw",76,3.5,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Vitis vinifera,"Large red-black seeded grape, with a crisp skin and juicy sweet pulp.",322,0.9,5,16.3,0,3.5
"Grape, thompson seedless or sultana, raw",65,3,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Vitis vinifera,"Medium-sized, oval shaped seedless grape with light green skin and pale green flesh.",276,0.6,4,15,0,2.3
"Grape, waltham cross, raw",67,3.5,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Vitis vinifera,"Elongated oval grape, with a golden green firm skin and a sweet juicy pulp.",281,0.8,6,14.4,0,3.5
"Grapefruit, peeled, raw",29,3.5,0.37,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Citrus paradisi,"Large, slightly tart citrus fruit. The rind is mostly yellow, and often tinged with green or red, with white pulp.",125,0.9,4,4.8,0,1.7
"Guava, Hawaiian, raw",34,4,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Psidium guajava,Round to oblong shaped green skinned tropical fruit with pink flesh.,144,0.7,4,3.4,0,5.4
"Jackfruit, peeled, raw",82,3.5,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Artocarpus heterophyllus (Lam.) L.,"Rough fruit with light-green to yellow skin, composed of small spiny segments with a short stem and yellow flesh.",347,2.2,3,16.3,0.1,3
"Kale, raw",45,4,0.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Brassica oleracea L. var. acephala,"A vegetable with long, green to purple leaves that can be flat or crinkled.",191,4.3,38,2.3,0.02,3.6
"Kingfish, yellowtail, aquacultured, fillet, with skin, raw",205,4,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Seriola lalandi,Uncooked yellowtail kingfish flesh.,858,22.9,36,0,3.06,0
"Kiwifruit, green (hayward), peeled, raw",54,3.5,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Actinidia deliciosa,"Oval shaped fruit with thin, brown, furry skin and green flesh. Imported from New Zealand.",230,1.2,2,8.8,0.17,3
"Kohlrabi, peeled, fresh, boiled, drained",40,4,0.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Brassica oleracea var. gongylodes,"A round, turnip like, purple or light green globe, with several stalks that sprout green leaves. Peeled and boiled in unsalted water, without added fat, then drained.",170,3.9,16,4.4,0,3.4
"Kohlrabi, peeled, fresh, raw",38,4,0.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Brassica oleracea var. gongylodes,"A round, turnip like, purple or light green globe, with several stalks that sprout green leaves. Peeled and uncooked.",163,3.7,16,4.2,0,3.3
"Leek, fresh, boiled, drained",36,4,0.5,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Allium ampeloprasum,"Long and cylindrical in shape, with thick white stalks and green fan-shaped leaves. Boiled in unsalted water, without added fat, then drained.",151,2.3,18,4.1,0,3.4
"Leek, fresh, fried, no added fat",39,4,0.5,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Allium ampeloprasum,"Long and cylindrical in shape, with thick white stalks and green fan-shaped leaves. Fried without added fat.",164,2.5,20,4.5,0,3.7
"Leek, fresh, raw",32,4,0.5,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Allium ampeloprasum,"Long and cylindrical in shape, with thick white stalks and green fan-shaped leaves. Uncooked.",136,2.1,17,3.7,0,3.1
"Lemon peel, raw",28,4.5,0.37,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Citrus limon,The peel (Limonis Cortex) and the rind (flavedo) of fresh lemons.,121,1.5,6,0,0.07,10.6
"Lemon, peeled, raw",27,3.5,0.37,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Citrus limon,"Tart oval citrus fruit, with a yellow rind and pulp.",115,0.6,2,1.8,0,2.5
"Lemon, preserved",24,1,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Citrus limon,"Tart citrus fruit, with a yellow rind and pulp. Preserved in a lemon juice and salt brine. Typically, only the peel is consumed",102,0.7,4449,1.3,0.01,3.5
"Lentil, French, hulled, dry",323,5,1.79,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Lens esculenta puyensis,"Small, lens-shaped, edible pulse with a black/grey colour.",1353,28.3,2,1,0.24,15
"Lentil, green, hulled, dry",317,5,1.79,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Lens culinaris,"Small, lens-shaped, edible pulse with a dusty green/brown colour.",1330,25.3,13,1.5,0.24,14.6
"Lentil, red, hulled, dry",326,5,1.79,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Lens culinaris,"Small, lens-shaped, edible pulse with a red/orange colour.",1364,23,2,2.7,0.24,13.7
"Lettuce, cos, raw",19,3.5,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Lactuca sativa,"Green, crisp, elongated leaves, tightly wrapped to form an elongated head. Uncooked.",80,1.4,18,1.8,0,1.8
"Lettuce, iceberg, raw",9,3.5,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Lactuca sativa,"Round in shape, with packed layers of crisp green leaves. Uncooked.",38,0.9,24,0.4,0,1.4
"Lettuce, mignonette, raw",15,3.5,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Lactuca sativa,"Round in shape, with curled layers of crisp leaves which vary in colour from green to deep red/purple. Uncooked.",64,1.3,18,1.1,0,1.4
"Lime, peeled, raw",29,4,0.37,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Citrus latifolia Tan.,Tart round/oval citrus fruit with light greenish-yellow rind and pulp when ripe.,122,0.8,3,1.2,0,4.1
"Loquat, peeled, raw",29,3.5,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Eriobotrya japonica,Small round yellow/orange fruit with white/yellow/orange flesh.,122,1,2,4.9,0,1.7
"Lupin, dehulled, flakes, uncooked",323,5,1.79,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Lupinus angustifolius,"Small oval shaped, creamy yellow or white coloured raw beans with or without brown mottling, from the pod of lupin plant species. Includes Australian sweet lupin (Lupinus angustifolius) species. Lupin flakes are formed by heating and rolling the dehulled lupin split.",1354,40.4,50,3.6,1.06,27
"Lupin, dehulled, splits, uncooked",329,5,1.79,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Lupinus angustifolius,"Small oval shaped, creamy yellow or white coloured raw beans with or without brown mottling, from the pod of lupin plant species. Includes Australian sweet lupin (Lupinus angustifolius) species. Lupin splits are inner kernels which have been halved and separated from the coat/hull.",1380,41,50,2.8,1.08,27.8
"Lupin, whole, uncooked",293,5,1.79,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Lupinus angustifolius,"Small oval shaped, creamy yellow or white coloured raw beans with or without brown mottling, from the pod of lupin plant species. Includes Australian sweet lupin (Lupinus angustifolius) species. Whole lupin grain includes the thick seed coat/hull and inner kernel.",1228,31.3,50,2.3,0.89,41.5
"Lychee, peeled, raw",70,3,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Litchi chinensis,Small round to oval shaped fruit with a scaly reddish to reddish-brown skin and off-white flesh.,296,1.1,1,16.2,0,1.3
"Mackerel, raw",134,4,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Scombermorus commerson,Uncooked Spanish mackerel with or without skin.,561,19.3,59,0,2.03,0
"Mandarin, peeled, raw",46,3,0.37,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Citrus reticulata,Citrus fruit with an orange peel and flesh. Imperial cultivar of mandarin.,195,0.9,3,9.8,0,1.6
"Mango, peeled, raw",56,3,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Mangifera indica,Tropical fruit with a smooth reddish to orange skin and orange flesh.,237,0.4,0,12.9,0,1.3
"Melon, honey dew, white skin, peeled, raw",35,3.5,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Cucumis melo var. inodorus,White/cream skinned melon with green flesh.,149,0.7,44,7.1,0,1
"Melon, honey dew, yellow skin, peeled, raw",25,3.5,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Cucumis melo var. inodorus,Yellow skinned melon with white or green flesh.,107,0.8,40,4.4,0,0.9
"Melon, rockmelon, peeled, raw",23,3.5,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Cucumis melo L. var. reticulatus Naudin,"Round green skinned fruit with brown netting, orange flesh and a sweet and smooth texture.",99,0.5,14,4.7,0,1
"Melon, watermelon, peeled, raw",31,3,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Citrullus lanatus (Thunb.) Mansf.,Large oval fruit with a thick green skin and a pink to red flesh containing black seeds. Skin and seeds removed.,133,0.6,3,7,0,0.4
"Milkfish, aquacultured, flesh, raw",190,4,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Chanos chanos,Uncooked milkfish produced by aquaculture and imported into Australia.,795,23.4,84,0,3.79,0
"Milkfish, aquacultured, flesh, steamed, no added fat",226,4,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Chanos chanos,"Milkfish produced by aquaculture and imported into Australia, that has been steamed without added fat.",946,27.9,85,0,4.51,0
"Millet, boiled, no added fat or salt",117,3.5,1.58,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Panicum sp.,"Hulled cereal grain, cooked in water by the absorption method, without the addition of fat or salt.",493,3.7,3,0.2,0.11,1.2
"Millet, uncooked",358,4,1.58,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Panicum sp.,Uncooked hulled cereal grain.,1500,11.2,1,0.6,0.33,3.7
"Morwong, fillet, raw",130,4,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Nemadactylus macropterus and other species,Uncooked morwong fillet.,544,19.4,89,0,1.99,0
"Morwong, fillet, steamed, no added fat",126,4,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Nemadactylus macropterus and other species,Morwong fillet that has been steamed with no added fat.,528,23,86,0,1.37,0
"Mulberry, raw",33,3.5,1.52,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Morus nigra,Glossy dark red to black coloured berry with sweet juicy flavour.,139,2.2,6,4.3,0,2.2
"Mullet, yelloweye, fillet, raw",131,4,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D","Aldrichetta forsteri, family Mugilidae",Uncooked yelloweye mullet fillet caught in Australian waters.,549,19.2,131,0,2.67,0
"Mullet, yelloweye, fillet, steamed, no added fat",133,4,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D","Aldrichetta forsteri, family Mugilidae","Yelloweye mullet fillet caught in Australian waters, steamed with no added fat.",559,22,144,0,2,0
"Mulloway, flesh, baked, no added fat",142,4.5,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Argyrosomus halolepidotus,"Mulloway with or without skin, cooked by baking with no added fat or oil.",595,28.2,74,0,1.07,0
