Ingredient Name,Calories,Health Star Rating,GHG Emission (kg CO2eq/FU),Category,Scientific Name,Description,Energy (kJ),Protein (g),Sodium (mg),Sugars (g),Saturated fats (g),Fibre (g)
"Bamboo shoot, canned in water, heated, drained",13,3.5,0.5,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Phyllostachys edulis,"Tender young shoots of an edible bamboo plant, cream in colour with a fibrous texture. Sliced and canned in water. Heated in own juice, then drained.",57,0.8,10,0.8,0,2.8
"Banana, cavendish, peeled, raw",94,3.5,0.86,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Musa acuminata,Long cylindrical fruit with thick yellow skin and cream-coloured flesh.,394,1.4,0,12.8,0,2.2
"Banana, lady finger or sugar, peeled, raw",113,3,0.86,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Musa acuminata x Musa balbisiana,Medium sized cylindrical fruit with a thick yellow skin and cream coloured flesh. Also known as sugar banana.,474,1.5,2,18.2,0,3.7
"Barley, pearl, boiled, no added fat or salt",141,4,1.58,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D","Hordeum distichon, H. vulgare","Grain that has had the bran removed, then is steamed and polished. Prepared by boiling in unsalted water until tender without the addition of fat or salt.",592,4.2,10,0.4,0.21,5.4
"Barley, pearl, uncooked",341,5,1.58,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D","Hordeum distichon, H. vulgare","Grain that has had the bran removed, then is steamed and polished. Uncooked.",1428,10.1,10,1,0.5,13.1
"Barramundi, aquacultured, fillet, grilled, no added fat",171,4,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Lates calcarifer,"Barramundi fillet, produced under aquaculture and imported into Australia, that has been grilled with no added fat.",717,26.4,76,0,1.64,0
"Barramundi, aquacultured, fillet, raw",125,4,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Lates calcarifer,"Uncooked barramundi fillet, produced under aquaculture and imported into Australia.",523,19.2,56,0,1.2,0
"Bean, broad, dried",310,5,1.79,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Vicia faba var. major,"Fresh seed, generally green in colour, removed from its pod. Uncooked.",1300,24.3,21,2.7,0.32,18.6
"Bean, broad, fresh, boiled, drained",60,5,1.79,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Vicia faba var. major,"Fresh seed, generally green in colour, removed from its pod and boiled in unsalted water without added fat, then drained. Outer seed skin not removed.",252,7.4,3,0.8,0,7.6
"Bean, broad, fresh, raw",56,5,1.79,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Vicia faba var. major,"Fresh seed, generally green in colour, removed from its pod. Uncooked.",235,6.9,4,0.7,0,7.1
"Bean, butter, fresh, boiled, drained",26,3.5,1.79,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Phaseolus lunatus,"Fresh seed and its pod, both of which are generally creamy yellow in colour, boiled in unsalted water without added fat, then drained.",112,2.5,2,1.9,0,2.5
"Bean, butter, fresh, raw",24,3.5,1.79,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Phaseolus lunatus,"Fresh seed and its pod, both of which are generally creamy yellow in colour. Uncooked.",104,2.3,3,1.8,0,2.3
"Bean, green, fresh, boiled, drained",27,4,1.79,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Phaseolus vulgaris,"Long, thin, green, crisp pod with small round smooth seeds inside. Trimmed, sliced, and boiled in unsalted water without added fat, then drained.",115,1.9,0,2.8,0,3
"Bean, green, fresh, raw",25,3.5,1.79,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Phaseolus vulgaris,"Long, thin, green, crisp pod with small round smooth seeds inside. Uncooked.",106,1.8,0,2.6,0,2.8
"Bean, green, frozen, boiled, drained",26,4,1.79,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Phaseolus vulgaris,"Long, thin, green, crisp pod with small round smooth seeds inside sliced and commercially packaged frozen. Boiled at home in unsalted water without added fat, then drained.",109,1.4,2,1.3,0,3.8
"Bean, haricot, dried",291,5,1.79,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Phaseolus vulgaris,"Small white bean, round to oval in shape. Dried and uncooked.",1220,21.9,4,3.5,0.27,18.5
"Bean, haricot, dried, boiled, drained",110,5,1.79,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Phaseolus vulgaris,"Small white beans, round to oval in shape that have been dried, then soaked overnight, before boiling in unsalted water and drained.",464,8.2,8,4.7,0.09,8.8
"Bean, lima, dried",310,5,1.79,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Phaseolus lunatus,"Flat kidney shaped bean which can be white or green, large or small. Dried and uncooked. Popularly called butter bean. Produced in USA, South America and Madagascar, imported into Australia.",1299,21.4,3,3.7,0.39,17.7
"Bean, lima, dried, boiled, drained",84,4,1.79,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Phaseolus lunatus,"Flat kidney shaped bean can be white or green, large or small that have been dried, then soaked in water before boiling in unsalted water and draining. Slightly sweet flavour when cooked. Popularly called butter bean. Produced in USA, South America and Madagascar, imported into Australia.",355,6.4,7,0.6,0.07,5.3
"Bean, mung, whole, dried, uncooked",315,5,1.79,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Vigna radiata,"Small, squarish, dark green beans. Whole, uncooked.",1320,24.5,1,2.1,0.64,13.7
"Bean, red kidney, canned, drained",105,4,1.79,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Phaseolus vulgaris,"Kidney shaped bean either elongated or plump in shape ranging in colour from dusky pink to deep red, canned in sweetened brine, then drained.",441,6.6,320,2.4,0.22,6.5
"Bean, red kidney, dried",298,5,1.79,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Phaseolus vulgaris,Kidney shaped bean either elongated or plump in shape ranging in colour from dusky pink to deep red. Dried and uncooked.,1251,22.5,3,3.4,0.27,21.5
"Bean, red kidney, dried, boiled, drained",91,4.5,1.79,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Phaseolus vulgaris,"Kidney shaped bean either elongated or plump in shape ranging in colour from dusky pink to deep red that have been dried, then soaked in water overnight before boiling in unsalted water and draining.",382,7.9,8,0.6,0.07,7.2
"Bean, red kidney, fresh, boiled, drained",144,5,1.79,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Phaseolus vulgaris,"Fresh seeds, generally red in colour, removed from their pod, boiled in unsalted water without added fat, then drained.",604,13.8,2,1.3,0,9.8
"Bean, red kidney, fresh, raw",134,5,1.79,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Phaseolus vulgaris,"Fresh seed, generally red in colour, removed from its pod. Uncooked.",561,12.8,3,1.2,0,9.1
"Beetroot, fresh, purple, peeled, baked, no added fat",58,4,0.43,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Beta vulgaris,Rounded root vegetable with dark brown-purple skin and stems and purple flesh. Chopped and baked without added fat.,246,2.3,66,10.2,0,4.3
"Beetroot, fresh, purple, peeled, boiled, drained",51,4,0.43,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Beta vulgaris,"Rounded root vegetable with dark brown-purple skin and stems and purple flesh. Flesh boiled in unsalted water without added fat, then drained.",217,2,55,9,0,3.8
"Beetroot, fresh, purple, peeled, raw",48,3.5,0.43,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Beta vulgaris,Rounded root vegetable with dark brown-purple skin and stems and purple flesh. Edible portion comprises flesh only. Uncooked.,201,1.9,54,8.4,0,3.5
"Blackberry, raw",50,4,1.52,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Rubus fruticosus,"Round fruit characterised by a collection of tiny, shiny, black drupelets around a central white core.",211,1.4,0,7.5,0,6.1
"Blue grenadier, flesh, baked, no added fat",102,4,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Macruronus novaezelandiae,"Blue grenadier (hoki) flesh, imported into Australia, that has been baked with no added fat.",427,22,56,0.3,0.3,0
"Blue grenadier, flesh, raw",73,4,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Macruronus novaezelandiae,Uncooked blue grenadier (hoki) with or without skin.,307,15.2,53,0.2,0.28,0
"Blueberry, purchased frozen",47,3.5,1.52,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Vaccinium spp.,"Small, deep blue berry with whitish waxy bloom. Frozen prior to sale.",199,0.5,2,9.5,0,3.6
"Blueberry, raw",46,3.5,1.52,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Vaccinium spp.,"Small, deep blue berry with whitish waxy bloom.",194,0.5,2,9.2,0,3.5
"Bream, fillet, baked, no added fat",170,4,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D","Acanthropagrus australis, A. butcheri",Bream fillet that has been baked in foil with no added fat.,714,26.8,115,0,2.41,0
"Bream, fillet, raw",124,4,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Acanthropagrus australis or A. butcheri,Uncooked bream fillet.,521,19.6,84,0,1.76,0
"Bream, fillet, steamed, no added fat",138,4,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D","Acanthopagrus australis, A. butcheri",Bream fillet that has been steamed with no added fat.,581,22.4,82,0,1.7,0
"Broccoli, fresh, baked, no added fat",38,4,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Brassica oleracea var. italica,"Deep green flower clusters which form the head, and pale green stems. Fresh. Chopped and baked without added fat.",160,5.7,26,0.5,0,4.5
"Broccoli, fresh, boiled, drained",23,3.5,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Brassica oleracea var. italica,"Deep green flower clusters which form the head with pale green stems. Boiled in unsalted water without added fat, then drained",100,2.9,13,1.1,0.07,2.5
"Broccoli, fresh, microwaved",27,4,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Brassica oleracea var. italica,Deep green flower clusters which form the head with pale green stems. Purchased fresh then  microwaved without added salt or fat.,113,3.3,13,1.3,0,2.9
"Broccoli, fresh, raw",31,4,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Brassica oleracea var. italica,"Deep green flower clusters which form the head, and pale green stems. Uncooked.",131,4.7,22,0.4,0,3.7
"Brussels sprout, fresh, boiled, drained",37,4,0.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Brassica oleracea var. gemmifera,"Layers of small green leaves with white stems wrapped around a white base. Boiled in unsalted water without added fat, then drained.",156,4,30,2.2,0,4.7
"Brussels sprout, fresh, raw",35,4,0.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Brassica oleracea var. gemmifera,Layers of small green leaves with white stems wrapped around a white base. Uncooked.,150,3.8,30,2.1,0,4.5
"Buckwheat groats, uncooked",331,4.5,1.58,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Fagopyrum esculentum,"Hulled, crushed, roasted kernels, used in a similar manner to rice. Uncooked.",1385,14,1,1.4,0.58,5
"Cabbage, Chinese flowering, boiled, drained",17,3.5,0.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Brassica parachinensis,"Leafy vegetable with long pale to mid green stem with rounded pale and mid green leaves and flowers. Chopped and cooking by boiling in unsalted water then draining, by microwaving, or by steaming.",74,1.4,13,0.8,0,2.9
"Cabbage, Chinese flowering, raw",16,3.5,0.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Brassica parachinensis,Leafy vegetable with long pale to mid green stem with rounded pale and mid green leaves and flowers. Uncooked.,71,1.3,13,0.8,0,2.8
"Cabbage, Chinese, boiled, drained",10,3.5,0.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Brassica pekinensis,"Large and cylindrical in shape, with layers of tightly packed leaves. Each leaf has a long, fleshy, thick white stem and mid-green colour leaves. Chopped and cooking by boiling in unsalted water then draining, by microwaving, or by steaming.",46,1.1,6,0.9,0,1.1
"Cabbage, Chinese, raw",10,3.5,0.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Brassica pekinensis,"Large and cylindrical in shape, with layers of tightly packed leaves. Each leaf has a long, fleshy, thick white stem and mid-green colour leaves. Uncooked.",44,1.1,6,0.9,0,1.1
"Cabbage, mustard, boiled, drained",19,3.5,0.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Brassica juncea,"Plant with thick, pale green, grooved, curving stems with a small fringe of deeper green leaf along the edges and across the top of stems. Chopped and cooking by boiling in unsalted water then draining, by microwaving, or by steaming.",80,2.4,3,0.7,0,1.9
"Cabbage, mustard, raw",18,3.5,0.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Brassica juncea,"Plant with thick, pale green, grooved, curving stems with a small fringe of deeper green leaf along the edges and across the top of stems. Uncooked.",77,2.3,3,0.7,0,1.8
"Cabbage, red, boiled, drained",30,4,0.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Brassica oleracea var. capitata,"Large, smooth and round in shape, with layers of tightly packed purple-red coloured leaves. Leaves chopped and boiled in unsalted water without added fat, then drained.",127,2.3,16,2.8,0,3.5
"Cabbage, red, raw",29,4,0.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Brassica oleracea var. capitata,"Large, smooth and round in shape, with layers of tightly packed purple-red coloured leaves. Uncooked.",122,2.2,16,2.7,0,3.4
"Cabbage, savoy, boiled, drained",22,3.5,0.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Brassica oleracea var. sabauda,"Round in shape, with tightly packed green wrinkled layers of leaves. Chopped and boiled in unsalted water without added fat, then drained.",93,1.8,23,2.4,0,2.4
"Cabbage, savoy, raw",21,3.5,0.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Brassica oleracea var. sabauda,"Round in shape, with tightly packed green wrinkled layers of leaves. Uncooked.",90,1.7,23,2.3,0,2.3
"Cabbage, white, boiled, drained",22,3.5,0.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Brassica oleracea var. capitata,"Round in shape, with tightly packed layers of leaves. Shredded, then boiled in unsalted water without added fat, then drained.",95,1.4,13,2.9,0,2.4
"Cabbage, white, raw",21,3.5,0.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Brassica oleracea var. capitata,"Round in shape, with tightly packed layers of leaves. Uncooked.",91,1.3,14,2.8,0,2.4
"Capers, pickled, canned, drained",30,1.5,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Capparis spinosa,Small round green berries of the caper bush. Pickled commercially and drained.,126,2.4,2348,0.4,0.27,3.2
"Carrot, baby, baked, no added fat",34,3.5,0.43,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Daucus carota,Crisp root vegetable with orange flesh and green leaves/stem. Baked with no added fat.,146,0.8,55,6,0,3.6
"Carrot, baby, peeled, fresh, boiled, drained",34,3.5,0.43,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Daucus carota,"Crisp root vegetable with orange flesh and green leaves/stem. Peeled and boiled in unsalted water without added fat, then drained.",144,0.8,52,5.9,0,3.5
"Carrot, baby, peeled, fresh, raw",32,3.5,0.43,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Daucus carota,Crisp root vegetable with orange flesh and green leaves/stem. Uncooked.,134,0.7,51,5.5,0,3.3
"Carrot, mature, peeled, fresh, baked, no added fat",42,3.5,0.43,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Daucus carota,Crisp root vegetable with orange flesh and green leaves/stem. Peeled and baked without added fat.,179,0.7,60,7.6,0,4.1
"Carrot, mature, peeled, fresh, boiled, drained",32,3.5,0.43,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Daucus carota,"Root vegetable with orange flesh and green leaves/stem. Peeled and boiled in unsalted water without added fat, then drained.",138,1,67,4.6,0,3.3
"Carrot, mature, peeled, fresh, raw",35,3.5,0.43,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Daucus carota,Root vegetable with orange flesh and green leaves/stem. Edible portion includes flesh only. Uncooked.,147,0.6,49,6.2,0,3.4
"Cassava, peeled, fresh, boiled, drained",151,4,0.43,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Manihot utilissima,"Long, coarse brown tuber, with a fibrous flesh. Peeled and boiled in unsalted water without added fat, then drained.",632,1.2,2,1.3,0,5
"Cassava, peeled, fresh, raw",140,4,0.43,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Manihot utilissima,"Long, coarse brown tuber, with a fibrous flesh. Uncooked.",587,1.1,2,1.2,0,4.6
"Cassava, white flesh, peeled, fresh, boiled, drained",165,3.5,0.43,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Manihot utilissima,"Long, coarse brown tuber, with a fibrous white flesh. Peeled and boiled in unsalted water without added fat, then drained.",692,0.6,2,1.3,0,4.9
"Cassava, white flesh, peeled, fresh, raw",153,4,0.43,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Manihot utilissima,"Long, coarse brown tuber, with a fibrous white flesh. Uncooked.",644,0.6,2,1.2,0,4.6
"Cassava, yellow flesh, peeled, fresh, boiled, drained",136,4,0.43,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Manihot esculenta,"Long, coarse brown tuber, with a fibrous yellow flesh. Peeled and boiled in unsalted water without added fat, then drained.",571,1.7,2,1.3,0,5.1
"Cassava, yellow flesh, peeled, fresh, raw",126,4,0.43,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Manihot esculenta,"Long, coarse brown tuber, with a fibrous yellow flesh. Uncooked.",531,1.6,2,1.2,0,4.7
"Cauliflower, fresh, boiled, drained",25,3.5,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Brassica oleracea,"Tight white flower clusters which form the head, with a white stem. Boiled in unsalted water, without added fat, then drained.",107,2,40,2.9,0,1.2
